"","title","author","subject","abstract","date"
"77","effect of the social environment on olfaction and social skills in wt and mouse model of autism","caroline gora (prc), ana dudas (prc), lucas court (prc), anil annamneedi (prc), gaëlle lefort (prc), thiago-seike picoreti-nakahara (prc), nicolas azzopardi (prc), adrien acquistapace (prc), anne-lyse lainé (prc, prc), anne-charlotte trouillet (prc), lucile drobecq (prc), emmanuel pecnard (prc), benoit piegu (prc, prc), pascale crépieux (prc, prc), pablo chamero (prc), lucie p. pellissier (prc)","neurons and cognition","autism spectrum disorders are complex, polygenic and heterogenous neurodevelopmental conditions, imposing a substantial economic burden. genetics are influenced by the environment, specifically the social experience during the critical neurodevelopmental period. despite efficacy of early behavior interventions targeted specific behaviors in some autistic children, there is no sustainable treatment for the two core symptoms: deficits in social interaction and communication, and stereotyped or restrained behaviors or interests. in this study, we investigated the impact of the social environment on both wild-type (wt) and shank3 knockout (ko) mice, a mouse model that reproduces core autism-like symptoms. our findings revealed that wt mice raised in an enriched social environment maintained social interest towards new conspecifics across multiple trials. additionally, we observed that 2 hours or chronic social isolation induced social deficits or enhanced social interaction and olfactory neuron responses in wt animals, respectively. notably, chronic social isolation restored both social novelty and olfactory deficits, and normalized self-grooming behavior in shank3 ko mice. these results novel insights for the implementation of behavioral intervention and inclusive classrooms programs for children with asd.",2023-11-29
"78","lester: rotoscope animation through video object segmentation and tracking","ruben tous","computer vision and pattern recognition","this article introduces lester, a novel method to automatically synthetise retro-style 2d animations from videos. the method approaches the challenge mainly as an object segmentation and tracking problem. video frames are processed with the segment anything model (sam) and the resulting masks are tracked through subsequent frames with deaot, a method of hierarchical propagation for semi-supervised video object segmentation. the geometry of the masks' contours is simplified with the douglas-peucker algorithm. finally, facial traits, pixelation and a basic shadow effect can be optionally added. the results show that the method exhibits an excellent temporal consistency and can correctly process videos with different poses and appearances, dynamic shots, partial shots and diverse backgrounds. the proposed method provides a more simple and deterministic approach than diffusion models based video-to-video translation pipelines, which suffer from temporal consistency problems and do not cope well with pixelated and schematic outputs. the method is also much most practical than techniques based on 3d human pose estimation, which require custom handcrafted 3d models and are very limited with respect to the type of scenes they can process.",2024-02-15
"79","solid waste detection in remote sensing images: a survey","piero fraternali, luca morandini, sergio luis herrera gonzález","computer vision and pattern recognition","the detection and characterization of illegal solid waste disposal sites are essential for environmental protection, particularly for mitigating pollution and health hazards. improperly managed landfills contaminate soil and groundwater via rainwater infiltration, posing threats to both animals and humans. traditional landfill identification approaches, such as on-site inspections, are time-consuming and expensive. remote sensing is a cost-effective solution for the identification and monitoring of solid waste disposal sites that enables broad coverage and repeated acquisitions over time. earth observation (eo) satellites, equipped with an array of sensors and imaging capabilities, have been providing high-resolution data for several decades. researchers proposed specialized techniques that leverage remote sensing imagery to perform a range of tasks such as waste site detection, dumping site monitoring, and assessment of suitable locations for new landfills. this review aims to provide a detailed illustration of the most relevant proposals for the detection and monitoring of solid waste sites by describing and comparing the approaches, the implemented techniques, and the employed data. furthermore, since the data sources are of the utmost importance for developing an effective solid waste detection model, a comprehensive overview of the satellites and publicly available data sets is presented. finally, this paper identifies the open issues in the state-of-the-art and discusses the relevant research directions for reducing the costs and improving the effectiveness of novel solid waste detection methods.",2024-02-14
"80","on the impact of biological risk in aquaculture valuation and decision making","christian-oliver ewald, kevin kamm","applications","this paper explores the impact of stochastic mortality and disease on animal-based commodities, with a specific emphasis on aquaculture, particularly in the context of salmon farming. the investigation delves into the stochastic nature of mortality and treatment plans based on historical data related to salmon lice. given that salmon lice pose a significant challenge in salmon farming, with associated treatment costs estimated to be comparable to feeding expenses, their removal is imperative to ensure the survival of the salmon and comply with the norwegian government's stipulation of maintaining 0.5 lice per fish.
we propose a new model that considers the relationship between hosts and parasites to estimate the number of treatments required and their overall cost. an important aspect of this model is its incorporation of stochastic effectiveness for each removal. after calibrating the model to the available data, the study examines the stochastic behavior's impact on the optimal harvesting decision in comparison to deterministic mortality models. the results indicate an approximate $1.5\,\%$ increase in the value of the salmon farm when employing the harvesting rule based on the stochastic host-parasite model as opposed to a deterministic model.",2024-01-24
"81","a wave-corrected assessment of the local midplane","ziyuan yin, austin hinkel","astrophysics of galaxies","as the number of known galactic structures mounts thanks to the gaia space telescope, it is now pertinent to study methods for disentangling structures occupying the same regions of the milky way. indeed, understanding the precise form of each individual structure and the interactions between structures may aid in understanding their origins and chronology. moreover, accounting for known structures allows one to probe still finer galactic structure. in order to demonstrate, we have developed an odd low-pass filter (olpf) which removes smaller, odd-parity structures like the vertical waves, and use the filtered data to examine the location of the galaxy's mid-plane. we find that the radial wave identified by xu et al. (2015) continues inward to at least the sun's location, with an amplitude that decreases towards the inner, denser parts of the disk, consistent with a simple, qualitative simulation. additionally, we employ the olpf results to determine the solar offset, $z_{\odot}$, with smaller structures filtered out. we find that $z_{\odot} = 34.2 \pm 0.3$ pc.",2024-02-13
"82","renelib: real-time neural listening behavior generation for socially interactive agents","daksitha withanage don, philipp müller, fabrizio nunnari, elisabeth andré, patrick gebhard","human-computer interaction","flexible and natural nonverbal reactions to human behavior remain a challenge for socially interactive agents (sias) that are predominantly animated using hand-crafted rules. while recently proposed machine learning based approaches to conversational behavior generation are a promising way to address this challenge, they have not yet been employed in sias. the primary reason for this is the lack of a software toolkit integrating such approaches with sia frameworks that conforms to the challenging real-time requirements of human-agent interaction scenarios. in our work, we for the first time present such a toolkit consisting of three main components: (1) real-time feature extraction capturing multi-modal social cues from the user; (2) behavior generation based on a recent state-of-the-art neural network approach; (3) visualization of the generated behavior supporting both flame-based and apple arkit-based interactive agents. we comprehensively evaluate the real-time performance of the whole framework and its components. in addition, we introduce pre-trained behavioral generation models derived from psychotherapy sessions for domain-specific listening behaviors. our software toolkit, pivotal for deploying and assessing sias' listening behavior in real-time, is publicly available. resources, including code, behavioural multi-modal features extracted from therapeutic interactions, are hosted at this https url",2024-02-12
"83","on computationally efficient multi-class calibration","parikshit gopalan, lunjia hu, guy n. rothblum","machine learning","consider a multi-class labelling problem, where the labels can take values in $[k]$, and a predictor predicts a distribution over the labels. in this work, we study the following foundational question: are there notions of multi-class calibration that give strong guarantees of meaningful predictions and can be achieved in time and sample complexities polynomial in $k$? prior notions of calibration exhibit a tradeoff between computational efficiency and expressivity: they either suffer from having sample complexity exponential in $k$, or needing to solve computationally intractable problems, or give rather weak guarantees.
our main contribution is a notion of calibration that achieves all these desiderata: we formulate a robust notion of projected smooth calibration for multi-class predictions, and give new recalibration algorithms for efficiently calibrating predictors under this definition with complexity polynomial in $k$. projected smooth calibration gives strong guarantees for all downstream decision makers who want to use the predictor for binary classification problems of the form: does the label belong to a subset $t \subseteq [k]$: e.g. is this an image of an animal? it ensures that the probabilities predicted by summing the probabilities assigned to labels in $t$ are close to some perfectly calibrated binary predictor for that task. we also show that natural strengthenings of our definition are computationally hard to achieve: they run into information theoretic barriers or computational intractability. underlying both our upper and lower bounds is a tight connection that we prove between multi-class calibration and the well-studied problem of agnostic learning in the (standard) binary prediction setting.",2024-02-12
"84","emowear: exploring emotional teasers for voice message interaction on smartwatches","pengcheng an, jiawen zhu, zibo zhang, yifei yin, qingyuan ma, che yan, linghao du, jian zhao","human-computer interaction","voice messages, by nature, prevent users from gauging the emotional tone without fully diving into the audio content. this hinders the shared emotional experience at the pre-retrieval stage. research scarcely explored ""emotional teasers""-pre-retrieval cues offering a glimpse into an awaiting message's emotional tone without disclosing its content. we introduce emowear, a smartwatch voice messaging system enabling users to apply 30 animation teasers on message bubbles to reflect emotions. emowear eases senders' choice by prioritizing emotions based on semantic and acoustic processing. emowear was evaluated in comparison with a mirroring system using color-coded message bubbles as emotional cues (n=24). results showed emowear significantly enhanced emotional communication experience in both receiving and sending messages. the animated teasers were considered intuitive and valued for diverse expressions. desirable interaction qualities and practical implications are distilled for future design. we thereby contribute both a novel system and empirical knowledge concerning emotional teasers for voice messaging.",2024-02-11
"85","squidgets: sketch-based widget design and direct manipulation of 3d scene","joonho kim, karan singh","graphics","squidgets or 'sketch-widgets' is a novel stroke-based ui framework for direct scene manipulation. squidgets is motivated by the observation that sketch strokes comprising visual abstractions of scene elements implicitly provide natural handles for the direct manipulation of scene parameters. configurations of such strokes can further be explicitly drawn by users to author custom widgets associated with scene attributes. users manipulate a scene by simply drawing strokes: a squidget is selected by partially matching the drawn stroke against both implicit scene contours and explicitly authored curves, and used in-situ to interactively control scene parameters associated with the squidget. we present an implementation of squidgets within the 3d modeling animation system maya, and report on an evaluation of squidget creation and manipulation, by both casual users and professional artists.",2024-02-09
"86","headstudio: text to animatable head avatars with 3d gaussian splatting","zhenglin zhou, fan ma, hehe fan, yi yang","computer vision and pattern recognition","creating digital avatars from textual prompts has long been a desirable yet challenging task. despite the promising outcomes obtained through 2d diffusion priors in recent works, current methods face challenges in achieving high-quality and animated avatars effectively. in this paper, we present $\textbf{headstudio}$, a novel framework that utilizes 3d gaussian splatting to generate realistic and animated avatars from text prompts. our method drives 3d gaussians semantically to create a flexible and achievable appearance through the intermediate flame representation. specifically, we incorporate the flame into both 3d representation and score distillation: 1) flame-based 3d gaussian splatting, driving 3d gaussian points by rigging each point to a flame mesh. 2) flame-based score distillation sampling, utilizing flame-based fine-grained control signal to guide score distillation from the text prompt. extensive experiments demonstrate the efficacy of headstudio in generating animatable avatars from textual prompts, exhibiting visually appealing appearances. the avatars are capable of rendering high-quality real-time ($\geq 40$ fps) novel views at a resolution of 1024. they can be smoothly controlled by real-world speech and video. we hope that headstudio can advance digital avatar creation and that the present method can widely be applied across various domains.",2024-02-09
"87","animated stickers: bringing stickers to life with video diffusion","david yan, winnie zhang, luxin zhang, anmol kalia, dingkang wang, ankit ramchandani, miao liu, albert pumarola, edgar schoenfeld, elliot blanchard, krishna narni, yaqiao luo, lawrence chen, guan pang, ali thabet, peter vajda, amy bearman, licheng yu","computer vision and pattern recognition","we introduce animated stickers, a video diffusion model which generates an animation conditioned on a text prompt and static sticker image. our model is built on top of the state-of-the-art emu text-to-image model, with the addition of temporal layers to model motion. due to the domain gap, i.e. differences in visual and motion style, a model which performed well on generating natural videos can no longer generate vivid videos when applied to stickers. to bridge this gap, we employ a two-stage finetuning pipeline: first with weakly in-domain data, followed by human-in-the-loop (hitl) strategy which we term ensemble-of-teachers. it distills the best qualities of multiple teachers into a smaller student model. we show that this strategy allows us to specifically target improvements to motion quality while maintaining the style from the static image. with inference optimizations, our model is able to generate an eight-frame video with high-quality, interesting, and relevant motion in under one second.",2024-02-08
"88","keyframer: empowering animation design using large language models","tiffany tseng, ruijia cheng, jeffrey nichols","human-computer interaction","large language models (llms) have the potential to impact a wide range of creative domains, but the application of llms to animation is underexplored and presents novel challenges such as how users might effectively describe motion in natural language. in this paper, we present keyframer, a design tool for animating static images (svgs) with natural language. informed by interviews with professional animation designers and engineers, keyframer supports exploration and refinement of animations through the combination of prompting and direct editing of generated output. the system also enables users to request design variants, supporting comparison and ideation. through a user study with 13 participants, we contribute a characterization of user prompting strategies, including a taxonomy of semantic prompt types for describing motion and a 'decomposed' prompting style where users continually adapt their goals in response to generated output.we share how direct editing along with prompting enables iteration beyond one-shot prompting interfaces common in generative tools today. through this work, we propose how llms might empower a range of audiences to engage with animation creation.",2024-02-08
"89","diffspeaker: speech-driven 3d facial animation with diffusion transformer","zhiyuan ma, xiangyu zhu, guojun qi, chen qian, zhaoxiang zhang, zhen lei","computer vision and pattern recognition","speech-driven 3d facial animation is important for many multimedia applications. recent work has shown promise in using either diffusion models or transformer architectures for this task. however, their mere aggregation does not lead to improved performance. we suspect this is due to a shortage of paired audio-4d data, which is crucial for the transformer to effectively perform as a denoiser within the diffusion framework. to tackle this issue, we present diffspeaker, a transformer-based network equipped with novel biased conditional attention modules. these modules serve as substitutes for the traditional self/cross-attention in standard transformers, incorporating thoughtfully designed biases that steer the attention mechanisms to concentrate on both the relevant task-specific and diffusion-related conditions. we also explore the trade-off between accurate lip synchronization and non-verbal facial expressions within the diffusion paradigm. experiments show our model not only achieves state-of-the-art performance on existing benchmarks, but also fast inference speed owing to its ability to generate facial motions in parallel.",2024-02-08
"90","a mechanical origin of cooperative transport","eden arbel, naomi oppenheimer, yoav lahini, matan yah ben zion","soft condensed matter","cooperative transport is a striking phenomenon where multiple agents join forces to transit a payload too heavy for the individual. while social animals such as ants are routinely observed to coordinate transport at scale, reproducing the effect in artificial swarms remains challenging, as it requires synchronization in a noisy many-body system. here we show that cooperative transport spontaneously emerges in swarms of stochastic self-propelled agents, without requiring any form of sensing, feedback, or control. we find that a minute modification to the mechanical design of the individual agent dramatically changes its alignment response to an external force. we then show experimentally that with the proper design, a swarm of active particles spontaneously cooperates in the directional transport of larger objects. surprisingly, transport increases with increasing payload size. a mechanical, coarse-grained description reveals that force-alignment is intrinsic and captured by a signed, charge-like parameter with units of curvature. numerical simulations of swarms of active particles with a negative active charge corroborate the experimental findings. we analytically derive a geometrical criterion for cooperative transport which results from a bifurcation in a non-linear dynamical system. our findings generalize existing models of active particles, offer new design rules for distributed robotic systems, and shed light on cooperation in natural swarms.",2024-02-08
"91","kix: a metacognitive generalization framework","arun kumar, paul schrater","artificial intelligence","humans and other animals aptly exhibit general intelligence behaviors in solving a variety of tasks with flexibility and ability to adapt to novel situations by reusing and applying high level knowledge acquired over time. but artificial agents are more of a specialist, lacking such generalist behaviors. artificial agents will require understanding and exploiting critical structured knowledge representations. we present a metacognitive generalization framework, knowledge-interaction-execution (kix), and argue that interactions with objects leveraging type space facilitate the learning of transferable interaction concepts and generalization. it is a natural way of integrating knowledge into reinforcement learning and promising to act as an enabler for autonomous and generalist behaviors in artificial intelligence systems.",2024-02-08
"92","a computational approach to visual ecology with deep reinforcement learning","sacha sokoloski, jure majnik, philipp berens","neural and evolutionary computing","animal vision is thought to optimize various objectives from metabolic efficiency to discrimination performance, yet its ultimate objective is to facilitate the survival of the animal within its ecological niche. however, modeling animal behavior in complex environments has been challenging. to study how environments shape and constrain visual processing, we developed a deep reinforcement learning framework in which an agent moves through a 3-d environment that it perceives through a vision model, where its only goal is to survive. within this framework we developed a foraging task where the agent must gather food that sustains it, and avoid food that harms it. we first established that the complexity of the vision model required for survival on this task scaled with the variety and visual complexity of the food in the environment. moreover, we showed that a recurrent network architecture was necessary to fully exploit complex vision models on the most visually demanding tasks. finally, we showed how different network architectures learned distinct representations of the environment and task, and lead the agent to exhibit distinct behavioural strategies. in summary, this paper lays the foundation for a computational approach to visual ecology, provides extensive benchmarks for future work, and demonstrates how representations and behaviour emerge from an agent's drive for survival.",2024-02-07
"93","a multiscale sensorimotor model of experience-dependent behavior in a minimal organism","maria sol vidal-saez, oscar vilarroya, jordi garcia-ojalvo","neurons and cognition","to survive in ever-changing environments, living organisms need to continuously combine the ongoing external inputs they receive, representing present conditions, with their dynamical internal state, which includes influences of past experiences. it is still unclear in general, however, (i) how this happens at the molecular and cellular levels, and (ii) how the corresponding molecular and cellular processes are integrated with the behavioral responses of the organism. here we address these issues by modeling mathematically a particular behavioral paradigm in a minimal model organism, namely chemotaxis in the nematode c. elegans. specifically, we use a long-standing collection of elegant experiments on salt chemotaxis in this animal, in which the migration direction varies depending on its previous experience. our model integrates the molecular, cellular and organismal levels to reproduce the experimentally observed experience-dependent behavior. the model proposes specific molecular mechanisms for the encoding of current conditions and past experiences in key neurons associated with this response, predicting the behavior of various mutants associated with those molecular circuits.",2024-02-07
"94","emergence of specialized collective behaviors in evolving heterogeneous swarms","fuda van diggelen, matteo de carlo, nicolas cambier, eliseo ferrante, a.e. eiben","robotics","natural groups of animals, such as swarms of social insects, exhibit astonishing degrees of task specialization, useful to address complex tasks and to survive. this is supported by phenotypic plasticity: individuals sharing the same genotype that is expressed differently for different classes of individuals, each specializing in one task. in this work, we evolve a swarm of simulated robots with phenotypic plasticity to study the emergence of specialized collective behavior during an emergent perception task. phenotypic plasticity is realized in the form of heterogeneity of behavior by dividing the genotype into two components, with one different neural network controller associated to each component. the whole genotype, expressing the behavior of the whole group through the two components, is subject to evolution with a single fitness function. we analyse the obtained behaviors and use the insights provided by these results to design an online regulatory mechanism. our experiments show three main findings: 1) the sub-groups evolve distinct emergent behaviors. 2) the effectiveness of the whole swarm depends on the interaction between the two sub-groups, leading to a more robust performance than with singular sub-group behavior. 3) the online regulatory mechanism enhances overall performance and scalability.",2024-02-07
"95","review of cetacean's click detection algorithms","mak gracic, guy gubnisky, roee diamant","sound","the detection of echolocation clicks is key in understanding the intricate behaviors of cetaceans and monitoring their populations. cetacean species relying on clicks for navigation, foraging and even communications are sperm whales (physeter macrocephalus) and a variety of dolphin groups. echolocation clicks are wideband signals of short duration that are often emitted in sequences of varying inter-click-intervals. while datasets and models for clicks exist, the detection and classification of clicks present a significant challenge, mostly due to the diversity of clicks' structures, overlapping signals from simultaneously emitting animals, and the abundance of noise transients from, for example, snapping shrimps and shipping cavitation noise. this paper provides a survey of the many detection and classification methodologies of clicks, ranging from 2002 to 2023. we divide the surveyed techniques into categories by their methodology. specifically, feature analysis (e.g., phase, ici and duration), frequency content, energy based detection, supervised and unsupervised machine learning, template matching and adaptive detection approaches. also surveyed are open access platforms for click detections, and databases openly available for testing. details of the method applied for each paper are given along with advantages and limitations, and for each category we analyze the remaining challenges. the paper also includes a performance comparison for several schemes over a shared database. finally, we provide tables summarizing the existing detection schemes in terms of challenges address, methods, detection and classification tools applied, features used and applications.",2024-02-07
"96","skootr: a skating, omni-oriented, tripedal robot","adam joshua hung, challen enninful adu, talia y. moore","robotics","in both animals and robots, locomotion capabilities are determined by the physical structure of the system. the majority of legged animals and robots are bilaterally symmetric, which facilitates locomotion with consistent headings and obstacle traversal, but leads to constraints in their turning ability. on the other hand, radially symmetric animals have demonstrated rapid turning abilities enabled by their omni-directional body plans. radially symmetric tripedal robots are able to turn instantaneously, but are commonly constrained by needing to change direction with every step, resulting in inefficient and less stable locomotion. we address these challenges by introducing a novel design for a tripedal robot that has both frictional and rolling contacts. additionally, a freely rotating central sphere provides an added contact point so the robot can retain a stable tripod base of support while lifting and pushing with any one of its legs. the skating, omni-oriented, tripedal robot (skootr) is more versatile and stable than other existing tripedal robots. it is capable of multiple forward gaits, multiple turning maneuvers, obstacle traversal, and stair climbing. skootr has been designed to facilitate customization for diverse applications: it is fully open-source, is constructed with 3d printed or off-the-shelf parts, and costs approximately $500 usd to build.",2024-02-06
"97","vrmm: a volumetric relightable morphable head model","haotian yang, mingwu zheng, chongyang ma, yu-kun lai, pengfei wan, haibin huang","computer vision and pattern recognition","in this paper, we introduce the volumetric relightable morphable model (vrmm), a novel volumetric and parametric facial prior for 3d face modeling. while recent volumetric prior models offer improvements over traditional methods like 3d morphable models (3dmms), they face challenges in model learning and personalized reconstructions. our vrmm overcomes these by employing a novel training framework that efficiently disentangles and encodes latent spaces of identity, expression, and lighting into low-dimensional representations. this framework, designed with self-supervised learning, significantly reduces the constraints for training data, making it more feasible in practice. the learned vrmm offers relighting capabilities and encompasses a comprehensive range of expressions. we demonstrate the versatility and effectiveness of vrmm through various applications like avatar generation, facial reconstruction, and animation. additionally, we address the common issue of overfitting in generative volumetric models with a novel prior-preserving personalization framework based on vrmm. such an approach enables accurate 3d face reconstruction from even a single portrait input. our experiments showcase the potential of vrmm to significantly enhance the field of 3d face modeling.",2024-02-06
"98","large-scale generative ai models lack visual number sense","alberto testolin, kuinan hou, marco zorzi","computer vision and pattern recognition","humans can readily judge the number of objects in a visual scene, even without counting, and such a skill has been documented in a variety of animal species and in babies prior to language development and formal schooling. numerical judgments are error-free for small sets, while for larger collections responses become approximate, with variability increasing proportionally to the target number. this response pattern is observed for items of all kinds, despite variation in object features (such as color or shape), suggesting that our visual number sense relies on abstract representations of numerosity. here, we investigated whether generative artificial intelligence (ai) models based on large-scale transformer architectures can reliably name the number of objects in simple visual stimuli or generate images containing a target number of items in the 1-10 range. surprisingly, none of the foundation models considered performed in a human-like way: they all made striking errors even with small numbers, the response variability often did not increase in a systematic way, and the pattern of errors varied with object category. our findings demonstrate that advanced ai systems still lack a basic ability that supports an intuitive understanding of numbers, which in humans is foundational for numeracy and mathematical development.",2024-01-09
"99","ispa: inter-species phonetic alphabet for transcribing animal sounds","masato hagiwara, marius miron, jen-yu liu","sound","traditionally, bioacoustics has relied on spectrograms and continuous, per-frame audio representations for the analysis of animal sounds, also serving as input to machine learning models. meanwhile, the international phonetic alphabet (ipa) system has provided an interpretable, language-independent method for transcribing human speech sounds. in this paper, we introduce ispa (inter-species phonetic alphabet), a precise, concise, and interpretable system designed for transcribing animal sounds into text. we compare acoustics-based and feature-based methods for transcribing and classifying animal sounds, demonstrating their comparable performance with baseline methods utilizing continuous, dense audio representations. by representing animal sounds with text, we effectively treat them as a ""foreign language,"" and we show that established human language ml paradigms and models, such as language models, can be successfully applied to improve performance.",2024-02-05
"100","toonaging: face re-aging upon artistic portrait style transfer","bumsoo kim, abdul muqeet, kyuchul lee, sanghyun seo","computer vision and pattern recognition","face re-aging is a prominent field in computer vision and graphics, with significant applications in photorealistic domains such as movies, advertising, and live streaming. recently, the need to apply face re-aging to non-photorealistic images, like comics, illustrations, and animations, has emerged as an extension in various entertainment sectors. however, the absence of a network capable of seamlessly editing the apparent age on npr images means that these tasks have been confined to a naive approach, applying each task sequentially. this often results in unpleasant artifacts and a loss of facial attributes due to domain discrepancies. in this paper, we introduce a novel one-stage method for face re-aging combined with portrait style transfer, executed in a single generative step. we leverage existing face re-aging and style transfer networks, both trained within the same pr domain. our method uniquely fuses distinct latent vectors, each responsible for managing aging-related attributes and npr appearance. adopting an exemplar-based approach, our method offers greater flexibility than domain-level fine-tuning approaches, which typically require separate training or fine-tuning for each domain. this effectively addresses the limitation of requiring paired datasets for re-aging and domain-level, data-driven approaches for stylization. our experiments show that our model can effortlessly generate re-aged images while simultaneously transferring the style of examples, maintaining both natural appearance and controllability.",2024-02-05
"101","full-body deep learning-based automated contouring of contrast-enhanced murine organs for small animal irradiator cbct","ethan cramer, sophie dobiasch, xinmin liu, stephanie e. combs, rodney d. wiersma","medical physics","purpose. to alleviate the manual contouring burden, deep learning (dl) based automated contouring has been explored. however, due to the poor contrast resolution of preclinical irradiator cbct, these methods have been limited to high contrast - minimally anatomically complex - structures such as the heart and lungs. thus, low contrast abdominal cbct dl-based segmentation has yet to be addressed. in this work we explore a dl-based model in conjunction with iodine-based contrast agent approach to allow precise automatic contouring of mouse abdominal, thorax, and skeletal structures in under a second.
methods. a dl u-net-like architecture was trained to contour mice organs in small animal radiation research platform cbct scans. 41 mice were contoured by a human expert, using semi-automatic segmentation methods, after injection of iodine contrast agent, establishing a ground truth for the dl model. the model was trained on a dataset of 26 mice, while 2 mice were used for validation, tuning the model during training, and 15 mice used for performance evaluation testing. the model consists of a pre-processor, and a post-processor for volumetric reconstruction of the dl-predicted probability maps. model performance was evaluated using both qualitative and distance metrics, including the dice similarity score, precision score, hausdorff distance (hd), and mean surface distance (msd).
results. performance of the dl-based iodine contrast-enhanced model provided high quality predicted contours in under a second, with the median for all organs being reported: dice $>$ 91\%, precision $>$ 95\%, hd50 $<$ 1.0 mm, and msd $<$ 1.41 mm.
conclusion. the proposed combination of a dl-based and iodine contrast-enhanced model proved as a viable method to vastly improve efficiency of small animal cbct image-guided rt preclinical trials.",2024-02-04
"102","brain-body-task co-adaptation can improve autonomous learning and speed of bipedal walking","darío urbina-meléndez, hesam azadjou, francisco j. valero-cuevas","robotics","inspired by animals that co-adapt their brain and body to interact with the environment, we present a tendon-driven and over-actuated (i.e., n joint, n+1 actuators) bipedal robot that (i) exploits its backdrivable mechanical properties to manage body-environment interactions without explicit control, and (ii) uses a simple 3-layer neural network to learn to walk after only 2 minutes of 'natural' motor babbling (i.e., an exploration strategy that is compatible with leg and task dynamics; akin to childsplay). this brain-body collaboration first learns to produce feet cyclical movements 'in air' and, without further tuning, can produce locomotion when the biped is lowered to be in slight contact with the ground. in contrast, training with 2 minutes of 'naive' motor babbling (i.e., an exploration strategy that ignores leg task dynamics), does not produce consistent cyclical movements 'in air', and produces erratic movements and no locomotion when in slight contact with the ground. when further lowering the biped and making the desired leg trajectories reach 1cm below ground (causing the desired-vs-obtained trajectories error to be unavoidable), cyclical movements based on either natural or naive babbling presented almost equally persistent trends, and locomotion emerged with naive babbling. therefore, we show how continual learning of walking in unforeseen circumstances can be driven by continual physical adaptation rooted in the backdrivable properties of the plant and enhanced by exploration strategies that exploit plant dynamics. our studies also demonstrate that the bio-inspired codesign and co-adaptations of limbs and control strategies can produce locomotion without explicit control of trajectory errors.",2024-02-04
"103","crash-perching on vertical poles with a hugging-wing robot","mohammad askari, michele benciolini, hoang-vu phan, william stewart, auke j. ijspeert, dario floreano","robotics","perching with winged unmanned aerial vehicles has often been solved by means of complex control or intricate appendages. here, we present a simple yet novel method that relies on passive wing morphing for crash-landing on trees and other types of vertical poles. inspired by the adaptability of animals' and bats' limbs in gripping and holding onto trees, we design dual-purpose wings that enable both aerial gliding and perching on poles. with an upturned nose design, the robot can passively reorient from horizontal flight to vertical upon a head-on crash with a pole, followed by hugging with its wings to perch. we characterize the performance of reorientation and perching in terms of impact speed and angle, pole material, and size. the robot robustly reorients at impact angles above 15° and speeds of 3 m/s to 9 m/s, and can hold onto various pole types larger than 28% of its wingspan in diameter. we demonstrate crash-perching on tree trunks with an overall success rate of 71%. the method opens up new possibilities for the use of aerial robots in applications such as inspection, maintenance, and biodiversity conservation.",2024-02-03
"104","brain-like replay naturally emerges in reinforcement learning agents","jiyi wang, likai tang, huimiao chen, sen song","systems and control","can replay, as a widely observed neural activity pattern in brain regions, particularly in the hippocampus and neocortex, emerge in an artificial agent? if yes, does it contribute to the tasks? in this work, without heavy dependence on complex assumptions, we discover naturally emergent replay under task-optimized paradigm using a recurrent neural network-based reinforcement learning model, which mimics the hippocampus and prefrontal cortex, as well as their intercommunication and the sensory cortex input. the emergent replay in the hippocampus, which results from the episodic memory and cognitive map as well as environment observations, well resembles animal experimental data and serves as an effective indicator of high task performance. the model also successfully reproduces local and nonlocal replay, which matches the human experimental data. our work provides a new avenue for understanding the mechanisms behind replay.",2024-02-02
"105","games: mesh-based adapting and modification of gaussian splatting","joanna waczyńska, piotr borycki, sławomir tadeja, jacek tabor, przemysław spurek","computer vision and pattern recognition","recently, a range of neural network-based methods for image rendering have been introduced. one such widely-researched neural radiance field (nerf) relies on a neural network to represent 3d scenes, allowing for realistic view synthesis from a small number of 2d images. however, most nerf models are constrained by long training and inference times. in comparison, gaussian splatting (gs) is a novel, state-of-the-art technique for rendering points in a 3d scene by approximating their contribution to image pixels through gaussian distributions, warranting fast training and swift, real-time rendering. a drawback of gs is the absence of a well-defined approach for its conditioning due to the necessity to condition several hundred thousand gaussian components. to solve this, we introduce the gaussian mesh splatting (games) model, which allows modification of gaussian components in a similar way as meshes. we parameterize each gaussian component by the vertices of the mesh face. furthermore, our model needs mesh initialization on input or estimated mesh during training. we also define gaussian splats solely based on their location on the mesh, allowing for automatic adjustments in position, scale, and rotation during animation. as a result, we obtain a real-time rendering of editable gs.",2024-02-02
