"","title","author","subject","abstract","meta"
"73","Superradiant pulse saturation in a Free Electron Laser","Pornthep Pongchalee, Brian W.J. McNeil","Accelerator Physics (physics.acc-ph)","A study is made of the saturation mechanism of a single superradiant spike of radiation in a Free Electron Laser. A one-dimensional (1D) computer model is developed using the Puffin, un-averaged FEL simulation code, which allows sub-radiation wavelength evolution of both the spike radiation field and the electron dynamics to be modelled until the highly non-linear saturation process of the spike is observed. Animations of the process from the start to the end of the interaction are available. The resultant saturated spike duration is at the sub-wavelength scale and has a broad spectrum. The electrons passing through the spike can both lose and gain energy many times greater than that of the normal non-pulsed FEL interaction. A saturation mechanism is proposed and tested via a simple analysis of the 1D FEL equations. The scaling results of the analysis are seen to be in good agreement with the numerical results. A simple model of three dimensional diffraction effects of the radiation is applied to the results of the 1D simulations. This greatly reduces longer wavelengths of the power spectrum, which are seen to be emitted mainly after the electrons have propagated through the spike, and is seen to be in qualitative agreement with recent experimental results.","Fri, 16 Feb 2024 19:15:58 UTC (15,305 KB)"
"74","GaussianHair: Hair Modeling and Rendering with Light-aware Gaussians","Haimin Luo, Min Ouyang, Zijun Zhao, Suyi Jiang, Longwen Zhang, Qixuan Zhang, Wei Yang, Lan Xu, Jingyi Yu","Graphics (cs.GR)","Hairstyle reflects culture and ethnicity at first glance. In the digital era, various realistic human hairstyles are also critical to high-fidelity digital human assets for beauty and inclusivity. Yet, realistic hair modeling and real-time rendering for animation is a formidable challenge due to its sheer number of strands, complicated structures of geometry, and sophisticated interaction with light. This paper presents GaussianHair, a novel explicit hair representation. It enables comprehensive modeling of hair geometry and appearance from images, fostering innovative illumination effects and dynamic animation capabilities. At the heart of GaussianHair is the novel concept of representing each hair strand as a sequence of connected cylindrical 3D Gaussian primitives. This approach not only retains the hair's geometric structure and appearance but also allows for efficient rasterization onto a 2D image plane, facilitating differentiable volumetric rendering. We further enhance this model with the ""GaussianHair Scattering Model"", adept at recreating the slender structure of hair strands and accurately capturing their local diffuse color in uniform lighting. Through extensive experiments, we substantiate that GaussianHair achieves breakthroughs in both geometric and appearance fidelity, transcending the limitations encountered in state-of-the-art methods for hair reconstruction. Beyond representation, GaussianHair extends to support editing, relighting, and dynamic rendering of hair, offering seamless integration with conventional CG pipeline workflows. Complementing these advancements, we have compiled an extensive dataset of real human hair, each with meticulously detailed strand geometry, to propel further research in this field.","Fri, 16 Feb 2024 07:13:24 UTC (32,069 KB)"
"75","UMAIR-FPS: User-aware Multi-modal Animation Illustration Recommendation Fusion with Painting Style","Yan Kang, Hao Lin, Mingjian Yang, Shin-Jye Lee","Information Retrieval (cs.IR)","The rapid advancement of high-quality image generation models based on AI has generated a deluge of anime illustrations. Recommending illustrations to users within massive data has become a challenging and popular task. However, existing anime recommendation systems have focused on text features but still need to integrate image features. In addition, most multi-modal recommendation research is constrained by tightly coupled datasets, limiting its applicability to anime illustrations. We propose the User-aware Multi-modal Animation Illustration Recommendation Fusion with Painting Style (UMAIR-FPS) to tackle these gaps. In the feature extract phase, for image features, we are the first to combine image painting style features with semantic features to construct a dual-output image encoder for enhancing representation. For text features, we obtain text embeddings based on fine-tuning Sentence-Transformers by incorporating domain knowledge that composes a variety of domain text pairs from multilingual mappings, entity relationships, and term explanation perspectives, respectively. In the multi-modal fusion phase, we novelly propose a user-aware multi-modal contribution measurement mechanism to weight multi-modal features dynamically according to user features at the interaction level and employ the DCN-V2 module to model bounded-degree multi-modal crosses effectively. UMAIR-FPS surpasses the stat-of-the-art baselines on large real-world datasets, demonstrating substantial performance enhancements.","Fri, 16 Feb 2024 00:25:53 UTC (16,127 KB)"
"76","SusFL: Energy-Aware Federated Learning-based Monitoring for Sustainable Smart Farms","Dian Chen, Paul Yang, Ing-Ray Chen, Dong Sam Ha, Jin-Hee Cho","Machine Learning (cs.LG)","We propose a novel energy-aware federated learning (FL)-based system, namely SusFL, for sustainable smart farming to address the challenge of inconsistent health monitoring due to fluctuating energy levels of solar sensors. This system equips animals, such as cattle, with solar sensors with computational capabilities, including Raspberry Pis, to train a local deep-learning model on health data. These sensors periodically update Long Range (LoRa) gateways, forming a wireless sensor network (WSN) to detect diseases like mastitis. Our proposed SusFL system incorporates mechanism design, a game theory concept, for intelligent client selection to optimize monitoring quality while minimizing energy use. This strategy ensures the system's sustainability and resilience against adversarial attacks, including data poisoning and privacy threats, that could disrupt FL operations. Through extensive comparative analysis using real-time datasets, we demonstrate that our FL-based monitoring system significantly outperforms existing methods in prediction accuracy, operational efficiency, system reliability (i.e., mean time between failures or MTBF), and social welfare maximization by the mechanism designer. Our findings validate the superiority of our system for effective and sustainable animal health monitoring in smart farms. The experimental results show that SusFL significantly improves system performance, including a $10\%$ reduction in energy consumption, a $15\%$ increase in social welfare, and a $34\%$ rise in Mean Time Between Failures (MTBF), alongside a marginal increase in the global model's prediction accuracy.","Thu, 15 Feb 2024 19:15:15 UTC (2,626 KB)"
"77","Effect of the social environment on olfaction and social skills in WT and mouse model of autism","Caroline Gora (PRC), Ana Dudas (PRC), Lucas Court (PRC), Anil Annamneedi (PRC), Gaëlle Lefort (PRC), Thiago-Seike Picoreti-Nakahara (PRC), Nicolas Azzopardi (PRC), Adrien Acquistapace (PRC), Anne-Lyse Lainé (PRC, PRC), Anne-Charlotte Trouillet (PRC), Lucile Drobecq (PRC), Emmanuel Pecnard (PRC), Benoit Piegu (PRC, PRC), Pascale Crépieux (PRC, PRC), Pablo Chamero (PRC), Lucie P. Pellissier (PRC)","Neurons and Cognition (q-bio.NC)","Autism spectrum disorders are complex, polygenic and heterogenous neurodevelopmental conditions, imposing a substantial economic burden. Genetics are influenced by the environment, specifically the social experience during the critical neurodevelopmental period. Despite efficacy of early behavior interventions targeted specific behaviors in some autistic children, there is no sustainable treatment for the two core symptoms: deficits in social interaction and communication, and stereotyped or restrained behaviors or interests. In this study, we investigated the impact of the social environment on both wild-type (WT) and Shank3 knockout (KO) mice, a mouse model that reproduces core autism-like symptoms. Our findings revealed that WT mice raised in an enriched social environment maintained social interest towards new conspecifics across multiple trials. Additionally, we observed that 2 hours or chronic social isolation induced social deficits or enhanced social interaction and olfactory neuron responses in WT animals, respectively. Notably, chronic social isolation restored both social novelty and olfactory deficits, and normalized self-grooming behavior in Shank3 KO mice. These results novel insights for the implementation of behavioral intervention and inclusive classrooms programs for children with ASD.","Wed, 29 Nov 2023 16:46:15 UTC (34,454 KB)"
"78","Lester: rotoscope animation through video object segmentation and tracking","Ruben Tous","Computer Vision and Pattern Recognition (cs.CV)","This article introduces Lester, a novel method to automatically synthetise retro-style 2D animations from videos. The method approaches the challenge mainly as an object segmentation and tracking problem. Video frames are processed with the Segment Anything Model (SAM) and the resulting masks are tracked through subsequent frames with DeAOT, a method of hierarchical propagation for semi-supervised video object segmentation. The geometry of the masks' contours is simplified with the Douglas-Peucker algorithm. Finally, facial traits, pixelation and a basic shadow effect can be optionally added. The results show that the method exhibits an excellent temporal consistency and can correctly process videos with different poses and appearances, dynamic shots, partial shots and diverse backgrounds. The proposed method provides a more simple and deterministic approach than diffusion models based video-to-video translation pipelines, which suffer from temporal consistency problems and do not cope well with pixelated and schematic outputs. The method is also much most practical than techniques based on 3D human pose estimation, which require custom handcrafted 3D models and are very limited with respect to the type of scenes they can process.","Thu, 15 Feb 2024 11:15:54 UTC (10,402 KB)"
"79","Solid Waste Detection in Remote Sensing Images: A Survey","Piero Fraternali, Luca Morandini, Sergio Luis Herrera González","Computer Vision and Pattern Recognition (cs.CV)","The detection and characterization of illegal solid waste disposal sites are essential for environmental protection, particularly for mitigating pollution and health hazards. Improperly managed landfills contaminate soil and groundwater via rainwater infiltration, posing threats to both animals and humans. Traditional landfill identification approaches, such as on-site inspections, are time-consuming and expensive. Remote sensing is a cost-effective solution for the identification and monitoring of solid waste disposal sites that enables broad coverage and repeated acquisitions over time. Earth Observation (EO) satellites, equipped with an array of sensors and imaging capabilities, have been providing high-resolution data for several decades. Researchers proposed specialized techniques that leverage remote sensing imagery to perform a range of tasks such as waste site detection, dumping site monitoring, and assessment of suitable locations for new landfills. This review aims to provide a detailed illustration of the most relevant proposals for the detection and monitoring of solid waste sites by describing and comparing the approaches, the implemented techniques, and the employed data. Furthermore, since the data sources are of the utmost importance for developing an effective solid waste detection model, a comprehensive overview of the satellites and publicly available data sets is presented. Finally, this paper identifies the open issues in the state-of-the-art and discusses the relevant research directions for reducing the costs and improving the effectiveness of novel solid waste detection methods.","Wed, 14 Feb 2024 10:24:04 UTC (491 KB)"
"80","On the Impact of Biological Risk in Aquaculture Valuation and Decision Making","Christian-Oliver Ewald, Kevin Kamm","Applications (stat.AP)","This paper explores the impact of stochastic mortality and disease on animal-based commodities, with a specific emphasis on aquaculture, particularly in the context of salmon farming. The investigation delves into the stochastic nature of mortality and treatment plans based on historical data related to salmon lice. Given that salmon lice pose a significant challenge in salmon farming, with associated treatment costs estimated to be comparable to feeding expenses, their removal is imperative to ensure the survival of the salmon and comply with the Norwegian government's stipulation of maintaining 0.5 lice per fish.
We propose a new model that considers the relationship between hosts and parasites to estimate the number of treatments required and their overall cost. An important aspect of this model is its incorporation of stochastic effectiveness for each removal. After calibrating the model to the available data, the study examines the stochastic behavior's impact on the optimal harvesting decision in comparison to deterministic mortality models. The results indicate an approximate $1.5\,\%$ increase in the value of the salmon farm when employing the harvesting rule based on the stochastic host-parasite model as opposed to a deterministic model.","Wed, 24 Jan 2024 09:47:47 UTC (1,083 KB)"
"81","A Wave-Corrected Assessment of the Local Midplane","Ziyuan Yin, Austin Hinkel","Astrophysics of Galaxies (astro-ph.GA)","As the number of known Galactic structures mounts thanks to the Gaia Space Telescope, it is now pertinent to study methods for disentangling structures occupying the same regions of the Milky Way. Indeed, understanding the precise form of each individual structure and the interactions between structures may aid in understanding their origins and chronology. Moreover, accounting for known structures allows one to probe still finer Galactic structure. In order to demonstrate, we have developed an odd low-pass filter (OLPF) which removes smaller, odd-parity structures like the vertical waves, and use the filtered data to examine the location of the Galaxy's mid-plane. We find that the radial wave identified by Xu et al. (2015) continues inward to at least the Sun's location, with an amplitude that decreases towards the inner, denser parts of the disk, consistent with a simple, qualitative simulation. Additionally, we employ the OLPF results to determine the solar offset, $z_{\odot}$, with smaller structures filtered out. We find that $z_{\odot} = 34.2 \pm 0.3$ pc.","Tue, 13 Feb 2024 17:52:46 UTC (5,323 KB)"
"82","ReNeLiB: Real-time Neural Listening Behavior Generation for Socially Interactive Agents","Daksitha Withanage Don, Philipp Müller, Fabrizio Nunnari, Elisabeth André, Patrick Gebhard","Human-Computer Interaction (cs.HC)","Flexible and natural nonverbal reactions to human behavior remain a challenge for socially interactive agents (SIAs) that are predominantly animated using hand-crafted rules. While recently proposed machine learning based approaches to conversational behavior generation are a promising way to address this challenge, they have not yet been employed in SIAs. The primary reason for this is the lack of a software toolkit integrating such approaches with SIA frameworks that conforms to the challenging real-time requirements of human-agent interaction scenarios. In our work, we for the first time present such a toolkit consisting of three main components: (1) real-time feature extraction capturing multi-modal social cues from the user; (2) behavior generation based on a recent state-of-the-art neural network approach; (3) visualization of the generated behavior supporting both FLAME-based and Apple ARKit-based interactive agents. We comprehensively evaluate the real-time performance of the whole framework and its components. In addition, we introduce pre-trained behavioral generation models derived from psychotherapy sessions for domain-specific listening behaviors. Our software toolkit, pivotal for deploying and assessing SIAs' listening behavior in real-time, is publicly available. Resources, including code, behavioural multi-modal features extracted from therapeutic interactions, are hosted at this https URL","Mon, 12 Feb 2024 21:47:24 UTC (21,396 KB)"
"83","On Computationally Efficient Multi-Class Calibration","Parikshit Gopalan, Lunjia Hu, Guy N. Rothblum","Machine Learning (cs.LG)","Consider a multi-class labelling problem, where the labels can take values in $[k]$, and a predictor predicts a distribution over the labels. In this work, we study the following foundational question: Are there notions of multi-class calibration that give strong guarantees of meaningful predictions and can be achieved in time and sample complexities polynomial in $k$? Prior notions of calibration exhibit a tradeoff between computational efficiency and expressivity: they either suffer from having sample complexity exponential in $k$, or needing to solve computationally intractable problems, or give rather weak guarantees.
Our main contribution is a notion of calibration that achieves all these desiderata: we formulate a robust notion of projected smooth calibration for multi-class predictions, and give new recalibration algorithms for efficiently calibrating predictors under this definition with complexity polynomial in $k$. Projected smooth calibration gives strong guarantees for all downstream decision makers who want to use the predictor for binary classification problems of the form: does the label belong to a subset $T \subseteq [k]$: e.g. is this an image of an animal? It ensures that the probabilities predicted by summing the probabilities assigned to labels in $T$ are close to some perfectly calibrated binary predictor for that task. We also show that natural strengthenings of our definition are computationally hard to achieve: they run into information theoretic barriers or computational intractability. Underlying both our upper and lower bounds is a tight connection that we prove between multi-class calibration and the well-studied problem of agnostic learning in the (standard) binary prediction setting.","Mon, 12 Feb 2024 17:25:23 UTC (57 KB)"
"84","EmoWear: Exploring Emotional Teasers for Voice Message Interaction on Smartwatches","Pengcheng An, Jiawen Zhu, Zibo Zhang, Yifei Yin, Qingyuan Ma, Che Yan, Linghao Du, Jian Zhao","Human-Computer Interaction (cs.HC)","Voice messages, by nature, prevent users from gauging the emotional tone without fully diving into the audio content. This hinders the shared emotional experience at the pre-retrieval stage. Research scarcely explored ""Emotional Teasers""-pre-retrieval cues offering a glimpse into an awaiting message's emotional tone without disclosing its content. We introduce EmoWear, a smartwatch voice messaging system enabling users to apply 30 animation teasers on message bubbles to reflect emotions. EmoWear eases senders' choice by prioritizing emotions based on semantic and acoustic processing. EmoWear was evaluated in comparison with a mirroring system using color-coded message bubbles as emotional cues (N=24). Results showed EmoWear significantly enhanced emotional communication experience in both receiving and sending messages. The animated teasers were considered intuitive and valued for diverse expressions. Desirable interaction qualities and practical implications are distilled for future design. We thereby contribute both a novel system and empirical knowledge concerning emotional teasers for voice messaging.","Sun, 11 Feb 2024 12:03:01 UTC (7,150 KB)"
"85","Squidgets: Sketch-based Widget Design and Direct Manipulation of 3D Scene","Joonho Kim, Karan Singh","Graphics (cs.GR)","Squidgets or 'sketch-widgets' is a novel stroke-based UI framework for direct scene manipulation. Squidgets is motivated by the observation that sketch strokes comprising visual abstractions of scene elements implicitly provide natural handles for the direct manipulation of scene parameters. Configurations of such strokes can further be explicitly drawn by users to author custom widgets associated with scene attributes. Users manipulate a scene by simply drawing strokes: a squidget is selected by partially matching the drawn stroke against both implicit scene contours and explicitly authored curves, and used in-situ to interactively control scene parameters associated with the squidget. We present an implementation of squidgets within the 3D modeling animation system Maya, and report on an evaluation of squidget creation and manipulation, by both casual users and professional artists.","Fri, 9 Feb 2024 21:40:23 UTC (34,436 KB)"
"86","HeadStudio: Text to Animatable Head Avatars with 3D Gaussian Splatting","Zhenglin Zhou, Fan Ma, Hehe Fan, Yi Yang","Computer Vision and Pattern Recognition (cs.CV)","Creating digital avatars from textual prompts has long been a desirable yet challenging task. Despite the promising outcomes obtained through 2D diffusion priors in recent works, current methods face challenges in achieving high-quality and animated avatars effectively. In this paper, we present $\textbf{HeadStudio}$, a novel framework that utilizes 3D Gaussian splatting to generate realistic and animated avatars from text prompts. Our method drives 3D Gaussians semantically to create a flexible and achievable appearance through the intermediate FLAME representation. Specifically, we incorporate the FLAME into both 3D representation and score distillation: 1) FLAME-based 3D Gaussian splatting, driving 3D Gaussian points by rigging each point to a FLAME mesh. 2) FLAME-based score distillation sampling, utilizing FLAME-based fine-grained control signal to guide score distillation from the text prompt. Extensive experiments demonstrate the efficacy of HeadStudio in generating animatable avatars from textual prompts, exhibiting visually appealing appearances. The avatars are capable of rendering high-quality real-time ($\geq 40$ fps) novel views at a resolution of 1024. They can be smoothly controlled by real-world speech and video. We hope that HeadStudio can advance digital avatar creation and that the present method can widely be applied across various domains.","Fri, 9 Feb 2024 02:58:37 UTC (10,449 KB)"
"87","Animated Stickers: Bringing Stickers to Life with Video Diffusion","David Yan, Winnie Zhang, Luxin Zhang, Anmol Kalia, Dingkang Wang, Ankit Ramchandani, Miao Liu, Albert Pumarola, Edgar Schoenfeld, Elliot Blanchard, Krishna Narni, Yaqiao Luo, Lawrence Chen, Guan Pang, Ali Thabet, Peter Vajda, Amy Bearman, Licheng Yu","Computer Vision and Pattern Recognition (cs.CV)","We introduce animated stickers, a video diffusion model which generates an animation conditioned on a text prompt and static sticker image. Our model is built on top of the state-of-the-art Emu text-to-image model, with the addition of temporal layers to model motion. Due to the domain gap, i.e. differences in visual and motion style, a model which performed well on generating natural videos can no longer generate vivid videos when applied to stickers. To bridge this gap, we employ a two-stage finetuning pipeline: first with weakly in-domain data, followed by human-in-the-loop (HITL) strategy which we term ensemble-of-teachers. It distills the best qualities of multiple teachers into a smaller student model. We show that this strategy allows us to specifically target improvements to motion quality while maintaining the style from the static image. With inference optimizations, our model is able to generate an eight-frame video with high-quality, interesting, and relevant motion in under one second.","Thu, 8 Feb 2024 22:49:32 UTC (5,685 KB)"
"88","Keyframer: Empowering Animation Design using Large Language Models","Tiffany Tseng, Ruijia Cheng, Jeffrey Nichols","Human-Computer Interaction (cs.HC)","Large language models (LLMs) have the potential to impact a wide range of creative domains, but the application of LLMs to animation is underexplored and presents novel challenges such as how users might effectively describe motion in natural language. In this paper, we present Keyframer, a design tool for animating static images (SVGs) with natural language. Informed by interviews with professional animation designers and engineers, Keyframer supports exploration and refinement of animations through the combination of prompting and direct editing of generated output. The system also enables users to request design variants, supporting comparison and ideation. Through a user study with 13 participants, we contribute a characterization of user prompting strategies, including a taxonomy of semantic prompt types for describing motion and a 'decomposed' prompting style where users continually adapt their goals in response to generated output.We share how direct editing along with prompting enables iteration beyond one-shot prompting interfaces common in generative tools today. Through this work, we propose how LLMs might empower a range of audiences to engage with animation creation.","Thu, 8 Feb 2024 21:43:30 UTC (4,146 KB)"
"89","DiffSpeaker: Speech-Driven 3D Facial Animation with Diffusion Transformer","Zhiyuan Ma, Xiangyu Zhu, Guojun Qi, Chen Qian, Zhaoxiang Zhang, Zhen Lei","Computer Vision and Pattern Recognition (cs.CV)","Speech-driven 3D facial animation is important for many multimedia applications. Recent work has shown promise in using either Diffusion models or Transformer architectures for this task. However, their mere aggregation does not lead to improved performance. We suspect this is due to a shortage of paired audio-4D data, which is crucial for the Transformer to effectively perform as a denoiser within the Diffusion framework. To tackle this issue, we present DiffSpeaker, a Transformer-based network equipped with novel biased conditional attention modules. These modules serve as substitutes for the traditional self/cross-attention in standard Transformers, incorporating thoughtfully designed biases that steer the attention mechanisms to concentrate on both the relevant task-specific and diffusion-related conditions. We also explore the trade-off between accurate lip synchronization and non-verbal facial expressions within the Diffusion paradigm. Experiments show our model not only achieves state-of-the-art performance on existing benchmarks, but also fast inference speed owing to its ability to generate facial motions in parallel.","Thu, 8 Feb 2024 14:39:16 UTC (9,938 KB)"
"90","A Mechanical Origin of Cooperative Transport","Eden Arbel, Naomi Oppenheimer, Yoav Lahini, Matan Yah Ben Zion","Soft Condensed Matter (cond-mat.soft)","Cooperative transport is a striking phenomenon where multiple agents join forces to transit a payload too heavy for the individual. While social animals such as ants are routinely observed to coordinate transport at scale, reproducing the effect in artificial swarms remains challenging, as it requires synchronization in a noisy many-body system. Here we show that cooperative transport spontaneously emerges in swarms of stochastic self-propelled agents, without requiring any form of sensing, feedback, or control. We find that a minute modification to the mechanical design of the individual agent dramatically changes its alignment response to an external force. We then show experimentally that with the proper design, a swarm of active particles spontaneously cooperates in the directional transport of larger objects. Surprisingly, transport increases with increasing payload size. A mechanical, coarse-grained description reveals that force-alignment is intrinsic and captured by a signed, charge-like parameter with units of curvature. Numerical simulations of swarms of active particles with a negative active charge corroborate the experimental findings. We analytically derive a geometrical criterion for cooperative transport which results from a bifurcation in a non-linear dynamical system. Our findings generalize existing models of active particles, offer new design rules for distributed robotic systems, and shed light on cooperation in natural swarms.","Thu, 8 Feb 2024 13:22:55 UTC (4,154 KB)"
"91","KIX: A Metacognitive Generalization Framework","Arun Kumar, Paul Schrater","Artificial Intelligence (cs.AI)","Humans and other animals aptly exhibit general intelligence behaviors in solving a variety of tasks with flexibility and ability to adapt to novel situations by reusing and applying high level knowledge acquired over time. But artificial agents are more of a specialist, lacking such generalist behaviors. Artificial agents will require understanding and exploiting critical structured knowledge representations. We present a metacognitive generalization framework, Knowledge-Interaction-eXecution (KIX), and argue that interactions with objects leveraging type space facilitate the learning of transferable interaction concepts and generalization. It is a natural way of integrating knowledge into reinforcement learning and promising to act as an enabler for autonomous and generalist behaviors in artificial intelligence systems.","Thu, 8 Feb 2024 01:41:28 UTC (500 KB)"
"92","A computational approach to visual ecology with deep reinforcement learning","Sacha Sokoloski, Jure Majnik, Philipp Berens","Neural and Evolutionary Computing (cs.NE)","Animal vision is thought to optimize various objectives from metabolic efficiency to discrimination performance, yet its ultimate objective is to facilitate the survival of the animal within its ecological niche. However, modeling animal behavior in complex environments has been challenging. To study how environments shape and constrain visual processing, we developed a deep reinforcement learning framework in which an agent moves through a 3-d environment that it perceives through a vision model, where its only goal is to survive. Within this framework we developed a foraging task where the agent must gather food that sustains it, and avoid food that harms it. We first established that the complexity of the vision model required for survival on this task scaled with the variety and visual complexity of the food in the environment. Moreover, we showed that a recurrent network architecture was necessary to fully exploit complex vision models on the most visually demanding tasks. Finally, we showed how different network architectures learned distinct representations of the environment and task, and lead the agent to exhibit distinct behavioural strategies. In summary, this paper lays the foundation for a computational approach to visual ecology, provides extensive benchmarks for future work, and demonstrates how representations and behaviour emerge from an agent's drive for survival.","Wed, 7 Feb 2024 21:23:47 UTC (2,213 KB)"
"93","A multiscale sensorimotor model of experience-dependent behavior in a minimal organism","Maria Sol Vidal-Saez, Oscar Vilarroya, Jordi Garcia-Ojalvo","Neurons and Cognition (q-bio.NC)","To survive in ever-changing environments, living organisms need to continuously combine the ongoing external inputs they receive, representing present conditions, with their dynamical internal state, which includes influences of past experiences. It is still unclear in general, however, (i) how this happens at the molecular and cellular levels, and (ii) how the corresponding molecular and cellular processes are integrated with the behavioral responses of the organism. Here we address these issues by modeling mathematically a particular behavioral paradigm in a minimal model organism, namely chemotaxis in the nematode C. elegans. Specifically, we use a long-standing collection of elegant experiments on salt chemotaxis in this animal, in which the migration direction varies depending on its previous experience. Our model integrates the molecular, cellular and organismal levels to reproduce the experimentally observed experience-dependent behavior. The model proposes specific molecular mechanisms for the encoding of current conditions and past experiences in key neurons associated with this response, predicting the behavior of various mutants associated with those molecular circuits.","Wed, 7 Feb 2024 20:52:54 UTC (4,633 KB)"
"94","Emergence of specialized Collective Behaviors in Evolving Heterogeneous Swarms","Fuda van Diggelen, Matteo De Carlo, Nicolas Cambier, Eliseo Ferrante, A.E. Eiben","Robotics (cs.RO)","Natural groups of animals, such as swarms of social insects, exhibit astonishing degrees of task specialization, useful to address complex tasks and to survive. This is supported by phenotypic plasticity: individuals sharing the same genotype that is expressed differently for different classes of individuals, each specializing in one task. In this work, we evolve a swarm of simulated robots with phenotypic plasticity to study the emergence of specialized collective behavior during an emergent perception task. Phenotypic plasticity is realized in the form of heterogeneity of behavior by dividing the genotype into two components, with one different neural network controller associated to each component. The whole genotype, expressing the behavior of the whole group through the two components, is subject to evolution with a single fitness function. We analyse the obtained behaviors and use the insights provided by these results to design an online regulatory mechanism. Our experiments show three main findings: 1) The sub-groups evolve distinct emergent behaviors. 2) The effectiveness of the whole swarm depends on the interaction between the two sub-groups, leading to a more robust performance than with singular sub-group behavior. 3) The online regulatory mechanism enhances overall performance and scalability.","Wed, 7 Feb 2024 11:26:53 UTC (1,990 KB)"
"95","Review of Cetacean's click detection algorithms","Mak Gracic, Guy Gubnisky, Roee Diamant","Sound (cs.SD)","The detection of echolocation clicks is key in understanding the intricate behaviors of cetaceans and monitoring their populations. Cetacean species relying on clicks for navigation, foraging and even communications are sperm whales (Physeter macrocephalus) and a variety of dolphin groups. Echolocation clicks are wideband signals of short duration that are often emitted in sequences of varying inter-click-intervals. While datasets and models for clicks exist, the detection and classification of clicks present a significant challenge, mostly due to the diversity of clicks' structures, overlapping signals from simultaneously emitting animals, and the abundance of noise transients from, for example, snapping shrimps and shipping cavitation noise. This paper provides a survey of the many detection and classification methodologies of clicks, ranging from 2002 to 2023. We divide the surveyed techniques into categories by their methodology. Specifically, feature analysis (e.g., phase, ICI and duration), frequency content, energy based detection, supervised and unsupervised machine learning, template matching and adaptive detection approaches. Also surveyed are open access platforms for click detections, and databases openly available for testing. Details of the method applied for each paper are given along with advantages and limitations, and for each category we analyze the remaining challenges. The paper also includes a performance comparison for several schemes over a shared database. Finally, we provide tables summarizing the existing detection schemes in terms of challenges address, methods, detection and classification tools applied, features used and applications.","Wed, 7 Feb 2024 10:41:14 UTC (818 KB)"
"96","SKOOTR: A SKating, Omni-Oriented, Tripedal Robot","Adam Joshua Hung, Challen Enninful Adu, Talia Y. Moore","Robotics (cs.RO)","In both animals and robots, locomotion capabilities are determined by the physical structure of the system. The majority of legged animals and robots are bilaterally symmetric, which facilitates locomotion with consistent headings and obstacle traversal, but leads to constraints in their turning ability. On the other hand, radially symmetric animals have demonstrated rapid turning abilities enabled by their omni-directional body plans. Radially symmetric tripedal robots are able to turn instantaneously, but are commonly constrained by needing to change direction with every step, resulting in inefficient and less stable locomotion. We address these challenges by introducing a novel design for a tripedal robot that has both frictional and rolling contacts. Additionally, a freely rotating central sphere provides an added contact point so the robot can retain a stable tripod base of support while lifting and pushing with any one of its legs. The SKating, Omni-Oriented, Tripedal Robot (SKOOTR) is more versatile and stable than other existing tripedal robots. It is capable of multiple forward gaits, multiple turning maneuvers, obstacle traversal, and stair climbing. SKOOTR has been designed to facilitate customization for diverse applications: it is fully open-source, is constructed with 3D printed or off-the-shelf parts, and costs approximately $500 USD to build.","Tue, 6 Feb 2024 20:20:55 UTC (4,062 KB)"
"97","VRMM: A Volumetric Relightable Morphable Head Model","Haotian Yang, Mingwu Zheng, Chongyang Ma, Yu-Kun Lai, Pengfei Wan, Haibin Huang","Computer Vision and Pattern Recognition (cs.CV)","In this paper, we introduce the Volumetric Relightable Morphable Model (VRMM), a novel volumetric and parametric facial prior for 3D face modeling. While recent volumetric prior models offer improvements over traditional methods like 3D Morphable Models (3DMMs), they face challenges in model learning and personalized reconstructions. Our VRMM overcomes these by employing a novel training framework that efficiently disentangles and encodes latent spaces of identity, expression, and lighting into low-dimensional representations. This framework, designed with self-supervised learning, significantly reduces the constraints for training data, making it more feasible in practice. The learned VRMM offers relighting capabilities and encompasses a comprehensive range of expressions. We demonstrate the versatility and effectiveness of VRMM through various applications like avatar generation, facial reconstruction, and animation. Additionally, we address the common issue of overfitting in generative volumetric models with a novel prior-preserving personalization framework based on VRMM. Such an approach enables accurate 3D face reconstruction from even a single portrait input. Our experiments showcase the potential of VRMM to significantly enhance the field of 3D face modeling.","Tue, 6 Feb 2024 15:55:46 UTC (40,534 KB)"
"98","Large-scale Generative AI Models Lack Visual Number Sense","Alberto Testolin, Kuinan Hou, Marco Zorzi","Computer Vision and Pattern Recognition (cs.CV)","Humans can readily judge the number of objects in a visual scene, even without counting, and such a skill has been documented in a variety of animal species and in babies prior to language development and formal schooling. Numerical judgments are error-free for small sets, while for larger collections responses become approximate, with variability increasing proportionally to the target number. This response pattern is observed for items of all kinds, despite variation in object features (such as color or shape), suggesting that our visual number sense relies on abstract representations of numerosity. Here, we investigated whether generative Artificial Intelligence (AI) models based on large-scale transformer architectures can reliably name the number of objects in simple visual stimuli or generate images containing a target number of items in the 1-10 range. Surprisingly, none of the foundation models considered performed in a human-like way: They all made striking errors even with small numbers, the response variability often did not increase in a systematic way, and the pattern of errors varied with object category. Our findings demonstrate that advanced AI systems still lack a basic ability that supports an intuitive understanding of numbers, which in humans is foundational for numeracy and mathematical development.","Tue, 9 Jan 2024 18:18:32 UTC (5,495 KB)"
